source_text,target_text


00bf00000006040100020001:00bf0000000404010100|00c000000006020100010001:,00c00000000402010100
00bf00000006040100020001:00bf0000000404010100|00c000000006010300010001:,00c0000000050103020000
00c100000006010300010001:00c1000000050103020000|00c000000006010300010001:,00c0000000050103020000
006100000006240100240001:00610000000424010100|00c100000006020300020001:,00c1000000050203020000
00c200000006020100010001:00c20000000402010100|00c100000006020300020001:,00c1000000050203020000
00c200000006050300030001:00c2000000050503020000|00c200000006050300030001:,00c2000000050503020000
00c300000006010300010001:00c3000000050103020000|006200000006250100250001:,00620000000425010100
00c400000006020100010001:00c40000000402010100|00c300000006030100010001:,00c30000000403010100
00c300000006030100010001:00c30000000403010100|00c400000006040100020001:,00c40000000404010100
00c400000006040100020001:00c40000000404010100|00c500000006010300010001:,00c5000000050103020000
00c500000006010300010001:00c5000000050103020000|00c600000006020100010001:,00c60000000402010100
00c500000006010300010001:00c5000000050103020000|00c600000006020300020001:,00c6000000050203020000
00c600000006020300020001:00c6000000050203020000|00c700000006010300010001:,00c7000000050103020000
00c700000006050300030001:00c7000000050503020000|00c700000006050300030001:,00c7000000050503020000
00c800000006020100010001:00c80000000402010100|00c900000006010300010001:,00c9000000050103020000
00c800000006030100010001:00c80000000403010100|00c800000006030100010001:,00c80000000403010100
006300000006260100260001:00630000000426010100|00c900000006040100020001:,00c90000000404010100
00ca00000006020100010001:00ca0000000402010100|00c900000006040100020001:,00c90000000404010100
00ca00000006010300010001:00ca000000050103020000|00ca00000006010300010001:,00ca000000050103020000
00cb00000006010300010001:00cb000000050103020000|00cc00000006020100010001:,00cc0000000402010100
00cb00000006020300020001:00cb000000050203020000|00cb00000006020300020001:,00cb000000050203020000
00cc00000006050300030001:00cc000000050503020000|00cd00000006010300010001:,00cd000000050103020000
00cc00000006050300030001:00cc000000050503020000|00cd00000006030100010001:,00cd0000000403010100
00cd00000006030100010001:00cd0000000403010100|00ce00000006020100010001:,00ce0000000402010100
006400000006270100270001:00640000000427010100|00ce00000006040100020001:,00ce0000000404010100
00cf00000006010300010001:00cf000000050103020000|00ce00000006040100020001:,00ce0000000404010100
00d000000006020100010001:00d00000000402010100|00cf00000006010300010001:,00cf000000050103020000
00cf00000006010300010001:00cf000000050103020000|00d000000006020300020001:,00d0000000050203020000
006500000006280100280001:00650000000428010100|00d000000006020300020001:,00d0000000050203020000
00d100000006010300010001:00d1000000050103020000|00d100000006050300030001:,00d1000000050503020000
00d100000006050300030001:00d1000000050503020000|00d200000006020100010001:,00d20000000402010100
00d200000006030100010001:00d20000000403010100|00d300000006010300010001:,00d3000000050103020000
00d200000006030100010001:00d20000000403010100|00d300000006040100020001:,00d30000000404010100
00d400000006020100010001:00d40000000402010100|00d300000006040100020001:,00d30000000404010100
00d400000006010300010001:00d4000000050103020000|00d500000006010300010001:,00d5000000050103020000
00d400000006010300010001:00d4000000050103020000|00d500000006020300020001:,00d5000000050203020000
