source_text,target_text
00e000000006050300030001:00e0000000050503020000|00e100000006010300010001:,00e1000000050103020000
00e100000006030100010001:00e10000000403010100|00e100000006030100010001:,00e10000000403010100
0078000000061e01001e0001:0078000000041e010100|00e200000006020100010001:,00e20000000402010100
00e200000006040100020001:00e20000000404010100|00e200000006040100020001:,00e20000000404010100
00e300000006010300010001:00e3000000050103020000|00e300000006010300010001:,00e3000000050103020000
00e300000006010300010001:00e3000000050103020000|00e400000006020100010001:,00e40000000402010100
00e400000006020300020001:00e4000000050203020000|00e400000006020300020001:,00e4000000050203020000
0079000000061f01001f0001:0079000000041f010100|00e500000006010300010001:,00e5000000050103020000
00e500000006050300030001:00e5000000050503020000|00e500000006050300030001:,00e5000000050503020000
00e600000006020100010001:00e60000000402010100|00e600000006030100010001:,00e60000000403010100
00e600000006030100010001:00e60000000403010100|00e700000006010300010001:,00e7000000050103020000
00e700000006040100020001:00e70000000404010100|00e700000006040100020001:,00e70000000404010100
00e800000006020100010001:00e80000000402010100|00e800000006010300010001:,00e8000000050103020000
00e800000006010300010001:00e8000000050103020000|00e900000006010300010001:,00e9000000050103020000
00e900000006020300020001:00e9000000050203020000|007a00000006200100200001:,007a0000000420010100
00e900000006020300020001:00e9000000050203020000|00ea00000006020100010001:,00ea0000000402010100
00ea00000006050300030001:00ea000000050503020000|00ea00000006050300030001:,00ea000000050503020000
00eb00000006010300010001:00eb000000050103020000|00eb00000006030100010001:,00eb0000000403010100
00eb00000006030100010001:00eb0000000403010100|00ec00000006020100010001:,00ec0000000402010100
00ec00000006040100020001:00ec0000000404010100|00ec00000006040100020001:,00ec0000000404010100
00ed00000006010300010001:00ed000000050103020000|00ed00000006010300010001:,00ed000000050103020000
00ed00000006010300010001:00ed000000050103020000|00ee00000006020100010001:,00ee0000000402010100
00ee00000006020300020001:00ee000000050203020000|00ee00000006020300020001:,00ee000000050203020000
00ef00000006010300010001:00ef000000050103020000|00ef00000006050300030001:,00ef000000050503020000
007b00000006210100210001:007b0000000421010100|00ef00000006050300030001:,00ef000000050503020000
00f000000006020100010001:00f00000000402010100|00f000000006030100010001:,00f00000000403010100
00f000000006030100010001:00f00000000403010100|00f100000006010300010001:,00f1000000050103020000
00f100000006040100020001:00f10000000404010100|00f100000006040100020001:,00f10000000404010100
00f200000006020100010001:00f20000000402010100|007c00000006220100220001:,007c0000000422010100
00f200000006010300010001:00f2000000050103020000|00f200000006010300010001:,00f2000000050103020000
00f300000006010300010001:00f3000000050103020000|00f300000006020300020001:,00f3000000050203020000
00f300000006020300020001:00f3000000050203020000|00f400000006020100010001:,00f40000000402010100
00f400000006050300030001:00f4000000050503020000|00f400000006050300030001:,00f4000000050503020000
00f500000006010300010001:00f5000000050103020000|00f500000006030100010001:,00f50000000403010100
00f500000006030100010001:00f50000000403010100|00f600000006020100010001:,00f60000000402010100
00f600000006040100020001:00f60000000404010100|00f600000006040100020001:,00f60000000404010100
00f700000006010300010001:00f7000000050103020000|007d00000006230100230001:,007d0000000423010100
00f700000006010300010001:00f7000000050103020000|00f700000006010300010001:,00f7000000050103020000
00f800000006020100010001:00f80000000402010100|00f800000006020300020001:,00f8000000050203020000
00f800000006020300020001:00f8000000050203020000|00f900000006010300010001:,00f9000000050103020000
00f900000006050300030001:00f9000000050503020000|00f900000006050300030001:,00f9000000050503020000
00fa00000006020100010001:00fa0000000402010100|00fa00000006030100010001:,00fa0000000403010100
00fa00000006030100010001:00fa0000000403010100|00fb00000006010300010001:,00fb000000050103020000
00fb00000006040100020001:00fb0000000404010100|00fb00000006040100020001:,00fb0000000404010100
00fc00000006020100010001:00fc0000000402010100|007e00000006240100240001:,007e0000000424010100
00fc00000006010300010001:00fc000000050103020000|00fc00000006010300010001:,00fc000000050103020000
00fd00000006010300010001:00fd000000050103020000|00fd00000006020300020001:,00fd000000050203020000
00fd00000006020300020001:00fd000000050203020000|00fe00000006020100010001:,00fe0000000402010100
00fe00000006050300030001:00fe000000050503020000|00fe00000006050300030001:,00fe000000050503020000
